N = 100, l = 10, Steps = 100000
g,T,Potential Mean,Potential Error,Correlation Mean,Correlation Error
1.6,1.0,-193.15290568099292,6.475157851288686,47.70718775787503,3.037531849497999
0.6,1.0,-28.61478703782076,1.681769037922287,11.001260357654159,1.1506807207577086
1.4,1.0,-152.05394181991375,4.741919442136155,39.82915824525848,2.4299102671435207
1.8,1.0,-233.37654199609673,4.374444561882427,53.711750665688534,1.918688939702555
0.8,1.0,-50.68155854035179,2.459172025652563,16.329915809702335,1.612883304424938
1.2,1.0,-114.00244021125546,4.41974214495851,31.583308231307996,2.427148307599291
0.2,1.0,-3.1308130372423397,0.18602455760894174,3.307295578011023,0.2315376641604957
2.0,1.0,-274.8788503951908,4.1383604745575875,59.34761923131684,1.7453385323131647
0.4,1.0,-12.565459172009362,0.7285149553311562,6.620072186479252,0.5642815961318244
1.0,1.0,-79.70341110985127,3.476054286472374,23.459426387436945,2.0615072533478505
