N = 3, P = 6, g = 2.000000, T = 1.000000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 100000
MC Step, Potential Energy, Correlation
1,-8.000000,2.000000
2,-6.795163,1.449729
3,-6.670296,1.191580
4,-6.316250,1.579063
5,-6.316250,1.579063
6,-4.622914,-0.722521
7,-7.127246,1.781812
8,-7.652478,1.652478
9,-5.400978,1.826239
10,-6.322774,1.365341
11,-4.484718,1.781812
12,-7.644582,1.911146
13,-5.461364,1.365341
14,-7.127246,1.781812
15,-6.968925,1.623490
16,-5.423916,1.074730
17,-5.621536,0.142820
18,-4.201395,-0.147791
19,-7.644582,1.911146
20,-6.957433,2.000000
21,-4.987918,1.246980
22,-6.316250,1.579063
23,-7.648530,1.781812
24,-6.968925,1.623490
25,-6.191383,1.320914
26,0.003008,0.400969
27,-4.196512,0.455573
28,-6.609910,1.652478
29,-8.000000,2.000000
30,-6.648333,1.911146
31,-6.670296,1.191580
32,-5.785506,0.440071
33,-7.652478,1.652478
34,-7.822291,1.955573
35,-5.561150,0.603718
36,-6.431657,0.698220
37,-7.316447,1.449729
38,-5.338017,0.988831
39,-7.304955,1.826239
40,-7.304955,1.826239
41,-5.037472,1.074730
42,-3.673722,1.579063
43,0.577590,0.698220
44,-7.316447,1.449729
45,-6.670296,1.191580
46,-7.644582,1.911146
47,-8.000000,2.000000
48,-7.652478,1.652478
49,-6.968925,1.623490
50,-3.187986,0.988831
51,-5.283655,1.320914
52,-5.461364,1.365341
53,-4.484718,1.781812
54,-6.130997,1.781812
55,-7.304955,1.826239
56,-6.648333,1.911146
57,-7.316447,1.449729
58,-6.609910,1.652478
59,-6.609910,1.652478
60,-7.644582,1.911146
61,-4.748304,1.781812
62,-6.304759,1.955573
63,-7.301008,1.955573
64,-7.127246,1.781812
65,-6.957433,2.000000
66,-7.304955,1.826239
67,-6.304759,1.955573
68,-5.461364,1.365341
69,-3.100124,0.900969
70,-6.316250,1.579063
71,-4.863710,0.900969
72,-4.298920,1.074730
73,-6.334266,0.988831
74,-6.670296,1.191580
75,-4.288980,0.326239
76,-4.352218,0.777479
77,-5.271438,0.400969
78,-6.306790,0.440071
79,-5.767491,1.030303
80,-6.191383,1.320914
81,-5.338017,0.988831
82,-5.718928,-0.147791
83,-7.127246,1.781812
84,-5.283655,1.320914
85,-5.461364,1.365341
86,-4.922065,1.955573
87,-4.669971,1.579063
88,-4.766319,1.191580
89,-6.855549,0.988831
90,-5.144197,-0.722521
91,-4.232698,-1.634021
92,-5.144197,-0.722521
93,-5.561150,0.603718
94,-6.609910,1.652478
95,-6.670296,1.191580
96,-6.980416,1.246980
97,-1.172423,-0.147791
98,-6.855549,0.988831
99,-5.785506,0.440071
100,-7.822291,1.955573
101,-7.644582,1.911146
102,-7.127246,1.781812
103,-7.822291,1.955573
104,-0.571280,0.142820
105,-2.525394,0.326239
106,3.030337,0.603718
107,0.003008,0.400969
108,-2.523820,1.320914
109,-2.769942,1.449729
110,-4.748304,1.781812
111,-6.666349,1.320914
112,-7.652478,1.652478
113,-3.699544,0.733052
114,-7.316447,1.449729
115,-4.298920,1.074730
116,-5.400978,1.826239
117,-7.304955,1.826239
118,-6.130997,1.781812
119,-3.717559,0.142820
120,-4.112383,-1.233052
121,0.591163,-0.147791
122,-4.860678,0.123490
123,-1.443443,-0.367711
124,-3.048641,-0.914101
125,-2.769942,1.449729
126,-2.932207,0.733052
127,-4.699741,0.603718
128,-5.308167,-0.425270
129,-3.336219,-1.400969
130,-3.336219,-1.400969
131,-3.711414,-1.634021
132,-4.311918,-0.425270
133,-4.589722,-0.367711
