N = 3, P = 1, g = 1.000000, T = 0.500000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 100
MC Step, Potential Energy, Correlation
1,-4.000000,2.000000
2,-0.686069,-0.722521
3,3.451225,-1.233052
4,-2.899457,1.449729
5,-0.816833,0.266948
6,-2.826042,1.911146
7,-0.065277,-0.033258
8,0.776644,-0.277479
9,-2.133667,-1.466104
10,2.511414,0.142820
11,0.155395,0.093187
12,-0.214510,0.149460
13,-1.594507,0.222521
14,1.255297,-0.535628
15,3.563848,-1.721883
16,0.327026,1.320914
17,-0.149926,-0.367711
18,-1.200484,0.900969
19,-1.594507,0.222521
20,-1.149815,1.320914
21,-2.885719,0.900969
22,-1.926590,-0.109562
23,-0.022037,-0.623490
24,1.560125,1.781812
25,0.612095,-1.000000
26,1.652478,-0.826239
27,0.622142,0.730682
28,0.890084,-0.445042
29,2.337566,0.730682
30,0.964686,-0.826239
31,0.420441,-1.211352
32,-0.445042,0.222521
33,0.685235,0.500000
34,-0.476251,-0.367711
35,-0.700386,1.030303
36,-2.873202,0.400969
37,1.445042,-0.722521
38,1.260492,-0.914101
39,-2.116349,-1.634021
40,1.503926,-1.400969
41,-1.978621,0.733052
42,3.312486,-0.955573
43,0.027479,0.777479
44,-2.374152,1.781812
45,1.348354,-0.826239
46,-1.180804,0.266948
47,-0.873667,-0.955573
48,0.989358,0.500000
49,1.188334,1.826239
50,0.339445,1.191580
51,0.275810,-1.000000
52,-1.960449,1.826239
53,-0.866720,-1.233052
54,-0.415545,-0.535628
55,-2.844057,0.730682
56,-0.496901,0.326239
57,-1.225625,-1.123490
58,1.412942,-0.658322
59,0.638373,0.698220
60,0.859756,-0.623490
61,-0.319126,-0.162592
62,-1.207436,0.603718
63,-0.689843,0.400969
64,0.438101,0.730682
65,1.629542,0.440071
66,1.164702,-0.722521
67,1.084249,0.698220
68,-3.692957,1.652478
69,-1.811776,-1.721883
70,-2.844057,0.730682
71,0.001224,0.326239
72,0.263556,-0.955573
73,-1.762918,-1.211352
74,0.632862,-0.162592
75,-1.877888,-1.977662
76,-0.088566,-1.634021
77,0.064088,-0.425270
78,-1.303596,-1.488831
79,-1.300576,-0.365341
80,-0.078499,0.123490
81,1.871809,-0.109562
82,1.025798,-0.955573
83,0.730682,-0.365341
84,2.369267,-0.535628
85,1.056479,0.054604
86,-0.654932,1.030303
87,-0.000610,-0.162592
88,0.669968,0.266948
89,-2.635719,0.400969
90,-0.544620,-0.277479
91,0.003294,0.093187
92,-2.641828,1.320914
93,-1.394005,0.455573
94,3.451225,-1.233052
95,2.056369,-1.634021
96,0.044302,0.011169
97,-2.228125,1.365341
98,-1.179763,1.911146
99,0.685235,0.500000
100,-1.558067,-1.233052
