N = 3, P = 2, g = 2.000000, T = 1.000000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 100000
MC Step, Potential Energy, Correlation
1,-8.000000,2.000000
2,-6.670296,1.191580
3,-7.822291,1.955573
4,-6.957433,2.000000
5,-6.316250,1.579063
6,-4.922065,1.955573
7,-3.304420,-0.658322
8,-0.876510,-0.623490
9,-3.148587,-1.721883
10,-3.273886,1.074730
11,-1.256417,0.455573
12,-2.660639,-0.914101
13,-3.427114,-0.535628
14,-4.023820,1.320914
15,-0.322323,-1.488831
16,-2.243972,-0.722521
17,-4.589722,-0.367711
18,-3.427114,-0.535628
19,-4.735810,-0.134659
20,-6.855549,0.988831
21,-2.176808,-0.914101
22,-4.326396,1.623490
23,-2.078102,0.266948
24,-1.040315,-0.162592
25,-4.675425,0.326239
26,-5.423916,1.074730
27,-4.311918,-0.425270
28,-3.381639,-1.488831
29,-3.843637,-1.889800
30,-5.080922,0.123490
31,1.461339,-1.889800
32,-3.390216,1.579063
33,-4.416221,1.449729
34,-5.675086,1.579063
35,-7.301008,1.955573
36,-7.246980,1.246980
37,-6.176936,0.698220
38,-4.735810,-0.134659
39,-4.880008,0.142820
40,-3.015305,-1.721883
41,-4.077747,-1.400969
42,-2.240859,-1.721883
43,-5.435408,0.698220
44,-5.767491,1.030303
45,-5.400978,1.826239
46,-3.435085,-0.914101
47,-4.332468,-1.400969
48,-4.789257,0.440071
49,-4.484718,1.781812
50,-6.957433,2.000000
51,-7.652478,1.652478
52,-7.652478,1.652478
53,-7.644582,1.911146
54,-4.633667,-1.233052
55,-4.735810,-0.134659
56,-6.304759,1.955573
57,-4.221945,-1.123490
58,-1.747004,-0.445042
59,-3.603875,0.900969
60,-6.191383,1.320914
61,-6.316250,1.579063
62,-5.283655,1.320914
63,-3.853179,-0.109562
64,-5.271438,0.400969
65,-7.648530,1.781812
66,-6.670296,1.191580
67,-6.304759,1.955573
68,-3.202907,0.500000
69,-4.863710,0.900969
70,-6.191383,1.320914
71,-3.176495,1.365341
72,-6.980416,1.246980
73,-6.322774,1.365341
74,-6.304759,1.955573
75,-5.748501,1.652478
76,-7.127246,1.781812
77,-7.822291,1.955573
78,-5.670100,1.320914
79,-6.666349,1.320914
80,-4.766319,1.191580
81,-4.545104,1.320914
82,-5.748501,1.652478
83,-8.000000,2.000000
84,-7.304955,1.826239
85,-6.666349,1.320914
86,-7.301008,1.955573
87,-7.648530,1.781812
88,-3.844524,1.652478
89,-6.246404,0.900969
90,-6.316250,1.579063
91,-6.968925,1.623490
92,-5.423916,1.074730
93,-5.461364,1.365341
94,-5.271438,0.400969
95,-6.609910,1.652478
96,-6.855549,0.988831
97,-3.955323,0.988831
98,-7.822291,1.955573
99,-7.127246,1.781812
100,-5.746404,0.400969
101,-4.196512,0.455573
102,-4.860678,0.123490
103,-2.064938,0.698220
104,-4.121212,1.030303
105,-7.644582,1.911146
106,-6.980416,1.246980
107,-7.316447,1.449729
108,-7.822291,1.955573
109,-7.127246,1.781812
110,-2.010920,-0.955573
111,-5.798914,1.449729
112,-3.890399,0.149460
113,-7.304955,1.826239
114,-6.609910,1.652478
115,-5.785506,0.440071
116,-7.304955,1.826239
117,-6.316250,1.579063
118,-7.304955,1.826239
119,-4.523144,-0.955573
120,-4.699741,0.603718
121,-6.316250,1.579063
122,-5.400978,1.826239
123,-6.191383,1.320914
124,-4.789257,0.440071
125,-2.089594,-0.109562
126,-5.785506,0.440071
127,-0.390084,-0.277479
128,-2.723198,-0.367711
129,0.333752,-0.109562
130,-7.301008,1.955573
131,-5.271438,0.400969
132,-6.670296,1.191580
133,-7.304955,1.826239
134,-7.301008,1.955573
135,-4.673919,1.449729
136,-5.197644,-0.147791
137,-7.822291,1.955573
138,-7.644582,1.911146
139,-4.121212,1.030303
140,-6.855549,0.988831
141,-6.316250,1.579063
142,-7.304955,1.826239
143,-6.322774,1.365341
144,-5.767491,1.030303
145,-6.316250,1.579063
146,-6.980416,1.246980
147,-5.748501,1.652478
148,-4.860678,0.123490
149,-7.316447,1.449729
150,-7.127246,1.781812
151,-5.400978,1.826239
152,-7.822291,1.955573
153,-8.000000,2.000000
154,-5.037472,1.074730
155,-0.945458,-0.033258
156,-4.987918,1.246980
157,-5.748501,1.652478
158,-6.855549,0.988831
159,-4.484718,1.781812
160,-5.271438,0.400969
161,-7.304955,1.826239
162,-7.304955,1.826239
163,-4.766319,1.191580
164,-5.767491,1.030303
165,-6.609910,1.652478
166,-5.400978,1.826239
167,-6.980416,1.246980
168,-7.822291,1.955573
169,-7.822291,1.955573
170,-5.688115,0.730682
171,-6.980416,1.246980
172,-6.648333,1.911146
173,-3.667926,0.093187
174,-7.127246,1.781812
175,-3.463631,1.652478
176,-3.603875,0.900969
177,-1.646452,0.326239
178,-5.771438,0.900969
179,-6.334266,0.988831
180,-6.316250,1.579063
181,-7.301008,1.955573
182,-4.922065,1.955573
183,-3.667926,0.093187
184,-6.670296,1.191580
185,-1.169649,-0.033258
186,-4.675425,0.326239
187,-3.691737,0.988831
188,-4.766319,1.191580
189,2.315354,-0.147791
190,-7.304955,1.826239
191,-6.957433,2.000000
192,-5.082238,0.733052
193,-2.792880,0.698220
194,-5.283655,1.320914
195,-6.855549,0.988831
196,-5.767491,1.030303
197,-4.005805,1.911146
198,-7.312499,1.579063
199,-3.176495,1.365341
200,-7.127246,1.781812
201,-1.620040,1.191580
202,-5.412470,1.449729
203,-2.414871,0.603718
204,-7.127246,1.781812
205,-5.283655,1.320914
206,0.431468,0.400969
207,-2.010920,-0.955573
208,-3.856604,-1.488831
209,-5.144197,-0.722521
210,-3.304420,-0.658322
211,-5.338017,0.988831
212,-7.304955,1.826239
213,-6.493959,1.623490
214,-4.239624,-0.109562
215,-3.955323,0.988831
216,-6.191383,1.320914
217,-6.670296,1.191580
218,-5.586231,1.623490
219,-7.822291,1.955573
220,-4.695793,0.733052
221,-0.260907,-0.109562
222,-2.343003,-0.623490
223,-4.219513,0.123490
224,-2.688562,-0.535628
225,-6.102529,1.365341
226,-6.666349,1.320914
227,-7.301008,1.955573
228,-7.911146,1.911146
229,-4.023820,1.320914
230,-5.271438,0.400969
231,-1.152832,-0.658322
232,-3.813558,-0.535628
233,-6.855549,0.988831
234,-5.412470,1.449729
235,-0.142523,-0.658322
236,-5.746404,0.400969
237,-7.648530,1.781812
238,-5.586231,1.623490
239,-1.568532,0.900969
240,-1.077747,0.099031
241,-4.369477,-0.367711
242,-5.288395,-0.445042
243,-3.103167,-1.634021
244,-3.137834,-1.211352
245,-4.112383,-1.233052
246,-5.435408,0.698220
247,-1.833815,-0.365341
248,-1.425428,0.222521
249,-4.789257,0.440071
250,-5.882897,0.149460
251,-5.283655,1.320914
252,-6.191383,1.320914
253,-5.744553,1.781812
254,-5.037472,1.074730
255,-7.304955,1.826239
256,-7.648530,1.781812
257,-7.648530,1.781812
258,-2.414871,0.603718
259,2.890084,-0.722521
260,-2.688562,-0.535628
261,-5.767491,1.030303
262,-4.863710,0.900969
263,-5.748501,1.652478
264,-6.648333,1.911146
265,0.285970,1.320914
266,-2.891762,-0.074730
267,-4.337888,1.246980
268,-6.316250,1.579063
269,-1.648561,-0.162592
270,-3.406564,0.440071
271,-2.891762,-0.074730
272,-4.687113,-0.658322
273,-2.299630,1.320914
274,0.506198,0.326239
275,1.276745,0.698220
276,0.211990,1.955573
277,-5.798914,1.449729
278,-7.644582,1.911146
279,-5.461364,1.365341
280,-7.316447,1.449729
281,-4.699741,0.603718
282,4.057362,-1.889800
283,-1.425270,-0.074730
284,-3.435958,0.733052
285,-7.301008,1.955573
286,-1.134659,-0.365341
287,-5.400978,1.826239
288,-4.121212,1.030303
289,-4.121212,1.030303
290,-4.311918,-0.425270
291,-6.855549,0.988831
292,-6.648333,1.911146
293,-5.767491,1.030303
294,-7.822291,1.955573
295,-6.670296,1.191580
296,-7.822291,1.955573
297,-5.435408,0.698220
298,-7.304955,1.826239
299,-7.644582,1.911146
300,-7.644582,1.911146
301,-4.545104,1.320914
302,0.538636,-0.134659
303,-5.718928,-0.147791
304,-3.116134,-1.233052
305,-2.932207,0.733052
306,-0.987804,-1.211352
307,-4.860678,0.123490
308,0.551768,-0.147791
309,-4.337888,1.246980
310,-7.304955,1.826239
311,-6.316250,1.579063
312,-5.283655,1.320914
313,-7.822291,1.955573
314,-3.109916,0.777479
315,-4.212148,-0.658322
316,-7.644582,1.911146
317,-4.311918,-0.425270
318,-3.435958,0.733052
319,-3.100124,0.900969
320,-6.666349,1.320914
321,-6.130997,1.781812
322,-4.669971,1.579063
323,-6.431657,0.698220
324,-6.334266,0.988831
325,-6.431657,0.698220
326,-4.789257,0.440071
327,-7.127246,1.781812
328,-0.746044,1.074730
329,-2.826396,1.623490
330,-5.771438,0.900969
331,-3.603875,0.900969
332,-6.980416,1.246980
333,-5.882897,0.149460
334,-7.127246,1.781812
335,-2.984718,1.781812
336,-4.311918,-0.425270
337,-4.860678,0.123490
338,-3.667926,0.093187
339,-4.212148,-0.658322
340,-7.644582,1.911146
341,-7.644582,1.911146
342,-6.648333,1.911146
343,-2.769942,1.449729
344,-5.652084,1.911146
345,-6.730682,0.730682
346,-5.744553,1.781812
347,-7.127246,1.781812
348,-2.414871,0.603718
349,-6.855549,0.988831
350,-5.561150,0.603718
351,-3.603875,0.900969
352,-6.334266,0.988831
353,-4.484718,1.781812
354,-3.109916,0.777479
355,-6.980416,1.246980
356,0.437235,-0.033258
357,-2.176808,-0.914101
358,-4.121212,1.030303
359,-6.609910,1.652478
360,-2.309044,0.988831
361,-5.767491,1.030303
362,-0.737165,0.440071
363,-5.767491,1.030303
364,-0.493959,0.123490
365,-3.828083,-0.134659
366,-6.316250,1.579063
367,-5.798914,1.449729
368,-3.114628,-0.109562
369,-5.688115,0.730682
370,-6.304759,1.955573
371,-4.673919,1.449729
372,-7.304955,1.826239
373,-0.635336,1.911146
374,-7.822291,1.955573
375,-5.652084,1.911146
376,-4.311918,-0.425270
377,-3.856604,-1.488831
378,-4.735810,-0.134659
379,-1.669390,-0.425270
380,1.137418,0.733052
381,0.650368,-0.162592
382,1.277479,-0.445042
383,-2.525394,0.326239
384,0.002447,0.326239
385,-2.451250,-1.123490
386,-3.931499,-1.801938
387,2.333172,-1.889800
388,3.494668,1.911146
389,3.030337,0.603718
390,0.185866,0.142820
391,-1.579417,-1.123490
392,-4.022338,-1.977662
393,-5.053446,-0.425270
394,-3.116134,-1.233052
395,-3.813558,-0.535628
396,-7.246980,1.246980
397,-7.911146,1.911146
398,-5.423916,1.074730
399,-6.204412,1.246980
400,-7.316447,1.449729
401,-3.406564,0.440071
402,-5.586231,1.623490
403,-0.246303,-0.033258
404,-2.173771,-1.400969
405,-3.781615,-0.955573
406,-3.117449,-0.623490
407,-4.622914,-0.722521
408,-3.623552,-1.721883
409,-3.304420,-0.658322
410,-4.860678,0.123490
411,-3.728312,-0.367711
412,-1.425270,-0.074730
413,-5.688115,0.730682
414,-5.767491,1.030303
415,-6.306790,0.440071
416,-2.414871,0.603718
417,-2.299630,1.320914
418,-1.620040,1.191580
419,-3.406564,0.440071
420,-6.652281,1.781812
421,-6.130997,1.781812
422,-6.795163,1.449729
423,-6.795163,1.449729
424,-7.316447,1.449729
425,-4.766319,1.191580
426,-4.860678,0.123490
427,-6.334266,0.988831
428,-2.740939,-1.000000
429,-6.609910,1.652478
430,-5.271438,0.400969
431,-1.089239,-0.277479
432,-3.435958,0.733052
433,-6.431657,0.698220
434,-4.748304,1.781812
435,-6.609910,1.652478
436,-7.644582,1.911146
437,-4.352218,0.777479
438,-3.550429,0.326239
439,-2.922728,0.730682
440,-7.304955,1.826239
441,-5.652084,1.911146
442,-4.121212,1.030303
443,-5.461364,1.365341
444,-6.130997,1.781812
445,-5.767491,1.030303
446,2.315354,-0.147791
447,-2.103875,0.900969
448,-5.037472,1.074730
449,-7.822291,1.955573
450,-3.102025,1.781812
451,-6.730682,0.730682
452,-5.144197,-0.722521
453,-5.882897,0.149460
454,-7.304955,1.826239
455,-2.932207,0.733052
456,-3.543497,-1.801938
457,-3.435085,-0.914101
458,-3.673722,1.579063
459,-4.311918,-0.425270
460,-7.652478,1.652478
461,0.211990,1.955573
462,-7.822291,1.955573
463,-5.461364,1.365341
464,-6.609910,1.652478
465,-5.423916,1.074730
466,-6.980416,1.246980
467,-5.748501,1.652478
468,-6.431657,0.698220
469,-5.718928,-0.147791
470,-3.828083,-0.134659
471,-6.246404,0.900969
472,-3.673722,1.579063
473,-2.792880,0.698220
474,-5.308167,-0.425270
475,-0.130554,-0.033258
476,-7.304955,1.826239
477,-7.644582,1.911146
478,-7.312499,1.579063
479,-5.718928,-0.147791
480,-3.853179,-0.109562
481,-5.718928,-0.147791
482,-5.283655,1.320914
483,0.577590,0.698220
484,-7.304955,1.826239
485,-1.603875,0.400969
486,-6.666349,1.320914
487,-4.416221,1.449729
488,-4.352218,0.777479
489,-3.648884,1.449729
490,-2.254699,1.826239
491,-5.670100,1.320914
492,-7.822291,1.955573
493,-1.711768,0.733052
494,-5.767491,1.030303
495,-4.121212,1.030303
496,-3.603875,0.900969
497,-5.767491,1.030303
498,-4.622914,-0.722521
499,-4.766319,1.191580
500,-6.334266,0.988831
501,-1.695360,1.246980
502,-8.000000,2.000000
503,-7.648530,1.781812
504,-5.082238,0.733052
505,-4.326396,1.623490
506,-5.652084,1.911146
507,-6.316250,1.579063
508,-3.466492,0.500000
509,-4.771242,1.030303
510,-1.669390,-0.425270
511,-5.271438,0.400969
512,-7.648530,1.781812
513,-4.622914,-0.722521
514,-2.140254,-0.826239
515,-5.798914,1.449729
516,-4.669971,1.579063
517,-4.005805,1.911146
518,-2.792880,0.698220
519,-4.005805,1.911146
520,-7.822291,1.955573
521,-6.316250,1.579063
522,-5.882897,0.149460
523,-6.322774,1.365341
524,-7.312499,1.579063
525,-4.298920,1.074730
526,-4.987918,1.246980
527,-6.304759,1.955573
528,-4.545104,1.320914
529,-6.246404,0.900969
530,-6.493959,1.623490
531,-6.334266,0.988831
532,-6.968925,1.623490
533,-1.172423,-0.147791
534,-4.416221,1.449729
535,-4.735810,-0.134659
536,-6.316250,1.579063
537,-5.197644,-0.147791
538,-7.304955,1.826239
539,-5.338017,0.988831
540,-7.127246,1.781812
541,-6.493959,1.623490
542,-5.037472,1.074730
543,-3.248357,-1.488831
544,-1.421322,0.054604
545,-3.466492,0.500000
546,-7.127246,1.781812
547,-5.435408,0.698220
548,-5.554958,-0.445042
549,-5.882897,0.149460
550,-6.316250,1.579063
551,-0.303253,1.579063
552,-6.334266,0.988831
553,-4.860678,0.123490
554,-7.127246,1.781812
555,-6.980416,1.246980
556,-1.338439,1.781812
557,-5.718928,-0.147791
558,-6.334266,0.988831
559,-4.748304,1.781812
560,-5.435408,0.698220
561,-4.766319,1.191580
562,-7.316447,1.449729
563,-7.127246,1.781812
564,-5.621536,0.142820
565,-5.746404,0.400969
566,-4.484718,1.781812
567,-5.882897,0.149460
568,-7.648530,1.781812
569,-5.688115,0.730682
570,-3.890399,0.149460
571,-4.687113,-0.658322
572,-1.443443,-0.367711
573,-6.670296,1.191580
574,-6.316250,1.579063
575,-5.621536,0.142820
576,-3.275786,1.955573
577,-4.192046,2.000000
578,-7.304955,1.826239
579,-5.798914,1.449729
580,-7.127246,1.781812
581,-7.127246,1.781812
582,-5.561150,0.603718
583,-7.304955,1.826239
584,-7.644582,1.911146
585,-7.301008,1.955573
586,-5.771438,0.900969
587,-7.648530,1.781812
588,-4.545104,1.320914
589,-6.670296,1.191580
590,-5.400978,1.826239
591,-4.863710,0.900969
592,-7.822291,1.955573
593,-4.766319,1.191580
594,-5.746404,0.400969
595,-5.882897,0.149460
596,-0.571280,0.142820
597,-7.822291,1.955573
598,-6.322774,1.365341
599,-5.461364,1.365341
600,-5.767491,1.030303
601,-3.813558,-0.535628
602,-5.586231,1.623490
603,-4.699741,0.603718
604,-5.767491,1.030303
605,-6.855549,0.988831
606,-4.545104,1.320914
607,-7.304955,1.826239
608,-3.103875,0.400969
609,-5.652084,1.911146
610,-6.648333,1.911146
611,-3.336219,-1.400969
612,-2.740939,-1.000000
613,-4.288980,0.326239
