N = 100, P = 2, g = 1.800000, T = 1.000000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 100000
MC Step, Potential Energy, Correlation
1,-356.400000,99.000000
2,-285.648170,80.995858
3,-266.195698,65.087273
4,-257.786379,71.436802
5,-285.410337,65.773317
6,-263.743971,61.470785
7,-258.946097,67.698574
8,-259.221880,63.896005
9,-261.114806,59.027668
10,-239.577418,54.335809
11,-252.104873,61.656763
12,-265.382626,61.334853
13,-253.239399,65.151287
14,-246.488935,54.571849
15,-244.555060,50.895624
16,-243.398208,53.659452
17,-259.447550,60.229849
18,-253.927184,53.510425
19,-251.516296,55.456831
20,-262.803749,68.903130
21,-246.762507,64.838162
22,-244.902861,61.096786
23,-248.344057,55.815730
24,-256.725066,63.409295
25,-257.476575,69.562348
26,-247.557490,60.998976
27,-231.828964,57.753197
28,-245.646520,58.840721
29,-224.761007,65.701558
30,-259.173662,67.466302
31,-249.075832,60.100757
32,-240.770209,66.777049
33,-269.294448,63.739740
34,-248.222434,62.915252
35,-267.360231,65.580381
36,-263.880090,66.907448
37,-281.301776,75.638465
38,-263.529545,58.922429
39,-243.914268,54.079465
40,-247.782915,60.212116
41,-259.943226,61.730701
42,-253.801484,72.242907
43,-232.615091,56.048153
44,-249.368629,60.628705
45,-272.185189,62.832182
46,-250.705660,58.982946
47,-269.788951,65.801402
48,-249.705653,60.088299
49,-251.955065,57.794626
50,-269.890943,59.909220
51,-261.461118,62.127639
52,-244.264169,53.699702
53,-262.341465,62.272226
54,-248.187905,63.539066
55,-243.054772,64.143179
56,-236.184073,54.002358
57,-246.541888,64.100167
58,-243.740145,56.304192
59,-231.906224,54.856820
60,-250.028206,56.464514
61,-246.766390,54.789722
62,-262.905913,59.502885
63,-268.185894,65.464332
64,-252.555053,63.448839
65,-248.005506,61.036740
66,-243.173029,56.282123
67,-235.010702,52.963789
68,-227.975972,48.132930
69,-222.372399,50.555291
70,-244.394324,61.977425
71,-269.608403,66.598607
72,-261.158610,69.897558
73,-273.139716,64.195388
74,-241.533098,57.444652
75,-266.120535,67.303939
76,-236.029571,52.843524
77,-264.620404,63.346368
78,-242.269545,59.175313
79,-255.047682,61.493809
80,-270.533466,57.542953
81,-250.864064,60.186657
82,-274.607786,63.851273
83,-266.376414,64.508916
84,-244.559265,53.263642
85,-234.502279,55.914505
86,-253.718309,66.973678
87,-251.297531,59.812669
88,-246.819605,50.133110
89,-253.985559,51.832582
90,-223.146953,49.845727
91,-256.377465,58.555516
92,-242.561006,61.294683
93,-265.062024,61.957479
94,-258.113569,68.973613
95,-224.936497,55.970876
96,-261.805909,68.453613
97,-259.982019,69.071642
98,-245.804429,63.920538
99,-243.066026,60.909005
100,-268.978680,66.059600
101,-256.582101,57.823673
102,-235.006163,51.171172
103,-230.752613,55.207988
104,-221.152033,54.848563
105,-235.582493,55.482277
106,-268.877512,65.174436
107,-263.475498,56.868729
108,-232.839925,43.808630
109,-249.780188,58.808912
110,-242.027410,64.044316
111,-257.920420,60.512071
112,-267.865251,65.794081
113,-266.325331,67.428935
114,-248.510932,62.252966
115,-235.688589,59.604384
116,-249.202001,61.311974
117,-257.322548,59.414113
118,-232.584525,55.755182
119,-247.926536,63.929329
120,-250.216245,59.954565
121,-269.092172,63.497411
122,-261.809300,67.005334
123,-258.608897,63.116230
124,-251.059081,62.600564
125,-240.913929,57.948327
126,-231.001833,58.525255
127,-235.428038,55.099158
128,-253.655452,59.362636
129,-243.141501,57.252262
130,-258.136312,53.835673
131,-271.779047,66.327996
132,-250.241919,58.866950
133,-256.331093,59.629267
134,-238.427674,51.885520
135,-226.446186,51.429327
136,-259.782690,66.262032
137,-211.115825,47.752901
138,-260.982351,57.727384
139,-261.453439,62.695307
140,-210.428101,40.624597
141,-228.095098,47.020556
142,-235.152909,47.908670
143,-228.158349,50.808486
144,-232.666951,49.201784
145,-228.767483,49.030141
146,-230.097535,53.052857
147,-221.018368,48.715443
148,-231.922794,49.347835
149,-235.139430,56.077228
150,-262.100891,57.811968
151,-236.192007,41.151921
152,-252.768088,59.282759
153,-255.540398,65.159409
154,-284.341095,71.817260
155,-279.673513,70.417485
156,-279.663772,69.866294
157,-263.294647,61.634896
158,-242.813989,63.070401
159,-255.884146,69.146571
160,-276.551978,77.516904
161,-259.842949,75.119729
162,-241.187660,57.084020
163,-250.295680,58.628238
164,-247.087520,67.751061
165,-251.384851,61.372156
166,-237.250518,58.866154
167,-231.910721,54.513856
168,-258.239318,58.593672
169,-264.426773,62.443033
170,-257.943992,65.598204
171,-270.978580,73.447921
172,-259.868867,64.955228
173,-271.128943,68.699783
174,-258.983033,64.871460
175,-245.470765,59.674057
176,-263.979772,66.507603
177,-268.756952,67.372625
178,-254.287942,65.133817
179,-260.622364,67.158115
180,-270.328040,60.977634
181,-254.798796,56.844547
182,-228.360621,52.960199
183,-264.541915,63.341011
184,-223.690249,52.562598
185,-243.902867,52.723347
186,-228.990187,46.247038
187,-239.582827,50.433578
188,-253.511971,59.907681
189,-267.633118,61.181781
190,-236.048905,54.206523
191,-236.869667,50.812474
192,-241.951928,54.538189
193,-244.936551,52.017677
194,-257.472821,62.451923
195,-254.622927,56.808766
196,-235.986617,41.755773
197,-269.773427,60.628633
198,-242.937104,60.412337
199,-256.959442,59.845336
200,-236.597722,58.210209
201,-231.298003,47.208545
202,-233.657935,51.321546
203,-232.759525,62.029713
204,-265.240023,65.776836
205,-247.745763,64.077933
206,-250.365092,53.958268
207,-245.151540,56.955693
208,-246.378611,62.232865
209,-267.872496,59.545669
210,-227.003340,48.410939
211,-238.111566,45.790370
212,-226.206600,54.578977
213,-218.527488,47.776671
214,-273.205300,65.342080
215,-266.028600,67.329300
216,-267.036352,66.200695
217,-243.698025,58.774331
218,-257.117805,66.352004
219,-265.249227,65.694724
220,-244.480282,60.880580
221,-253.027552,64.243979
222,-239.539719,53.661421
223,-253.426443,60.897255
224,-250.291446,57.883831
225,-235.393090,52.320150
226,-245.223086,65.953205
227,-249.902344,63.590054
228,-249.313012,61.845942
229,-252.089841,68.180218
230,-242.356408,64.643942
231,-241.522512,58.652080
232,-235.303737,55.846437
233,-263.333810,65.173723
234,-269.833183,70.741848
235,-250.408776,63.834440
236,-230.954096,42.298258
237,-253.823718,56.179712
238,-266.641361,68.537721
239,-237.928166,66.411118
240,-241.287044,57.879548
241,-252.384128,64.293179
242,-256.655862,57.373722
243,-255.398861,61.088508
244,-267.480777,65.525349
245,-255.242508,65.859926
246,-242.944232,55.010819
247,-222.607057,45.152825
248,-241.349333,56.515458
249,-249.755588,62.296147
250,-250.737368,64.760646
251,-239.696340,54.556386
252,-245.480708,55.229136
253,-249.832555,59.968265
254,-264.318267,66.951401
255,-243.461614,57.954063
256,-240.038821,59.927462
257,-235.880919,55.946588
258,-234.442164,46.817797
259,-247.729219,55.278978
260,-243.048686,59.437453
261,-263.310585,59.595733
262,-258.902916,64.047798
263,-261.608845,62.338285
264,-262.448488,69.926308
265,-272.104478,64.431645
266,-272.766611,71.350035
267,-253.730428,63.997711
268,-253.697853,55.363661
269,-260.410142,60.035464
270,-221.714891,53.347259
271,-249.878591,61.858514
272,-257.874201,64.360711
273,-225.027471,57.712246
274,-256.768078,68.873913
275,-285.058267,76.336754
276,-275.062954,69.282634
277,-261.265328,65.368064
278,-262.086843,67.981799
279,-263.116001,67.708155
280,-250.942627,60.176253
281,-273.985094,71.447201
282,-234.561242,56.002499
283,-263.611237,69.963475
284,-267.842954,64.835367
285,-237.426759,59.435520
286,-269.593892,68.698967
287,-253.054092,61.786060
288,-265.936250,58.776401
289,-238.362372,58.780309
290,-247.497858,59.459279
291,-257.184118,60.701741
292,-234.389978,48.425627
293,-244.487697,71.011455
294,-230.922023,54.518597
