N = 100, P = 2, g = 1.200000, T = 1.000000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 100000
MC Step, Potential Energy, Correlation
1,-237.600000,99.000000
2,-181.551091,77.915369
3,-155.010938,59.931567
4,-149.375036,64.087278
5,-148.251371,52.152857
6,-144.131698,42.446123
7,-157.621537,51.531698
8,-155.937328,54.400859
9,-140.814679,46.585601
10,-147.865919,43.545334
11,-133.908197,39.706241
12,-126.329742,40.902878
13,-129.528338,43.184960
14,-134.080374,36.050832
15,-144.593070,41.839936
16,-139.946363,38.102878
17,-130.517870,28.149038
18,-125.891865,36.360292
19,-128.736140,38.054893
20,-102.495199,26.333376
21,-114.087925,33.248262
22,-127.080802,36.440923
23,-116.931357,41.760303
24,-126.235292,38.868296
25,-124.717976,34.353254
26,-103.832726,18.706322
27,-110.052045,26.112177
28,-124.223435,32.454478
29,-113.188281,34.235545
30,-122.278370,32.967357
31,-129.723628,32.504658
32,-102.984931,37.494824
33,-117.723151,25.724021
34,-108.252781,40.351772
35,-130.285024,42.656191
36,-125.285774,42.761901
37,-127.683676,44.303397
38,-125.016393,36.703392
39,-135.331337,35.175208
40,-115.681785,33.189191
41,-123.162174,33.415495
42,-120.002789,38.342043
43,-119.180885,28.196446
44,-125.340585,38.807139
45,-127.064229,40.611487
46,-117.248710,36.698771
47,-133.231134,44.375669
48,-139.283147,47.203467
49,-126.346084,37.934478
50,-124.290335,41.520134
51,-123.093076,41.335321
52,-126.286721,37.685961
53,-114.329658,39.793092
54,-129.588665,50.726493
55,-111.671722,32.898177
56,-118.344829,37.741155
57,-136.842851,45.290338
58,-147.982789,55.782701
59,-130.848877,48.766532
60,-129.918705,38.201776
61,-115.961679,36.738120
62,-124.050563,33.113921
63,-119.553307,38.935900
64,-125.118842,40.285398
65,-128.318521,44.456990
66,-118.450134,29.151494
67,-121.971296,38.664349
68,-123.954663,32.979051
69,-105.994929,39.356915
70,-107.589604,28.763200
71,-119.577027,28.913844
72,-112.433944,37.679575
73,-117.162897,38.620998
74,-109.468530,32.896467
75,-128.118527,36.214210
76,-109.672801,23.013357
77,-133.803492,32.709532
78,-117.685105,31.014481
79,-125.943176,42.853829
80,-119.091800,33.780994
81,-119.370357,46.949869
82,-123.051563,39.246753
83,-142.846754,44.348651
84,-125.175509,39.842647
85,-131.129997,44.386924
86,-143.518318,40.484473
87,-152.475856,46.481410
88,-134.253761,42.638964
89,-152.648251,50.327731
90,-133.196793,42.031612
91,-122.737989,31.891567
92,-114.852157,33.807923
93,-139.590050,44.500387
94,-153.535576,54.414607
95,-126.112102,38.827976
96,-152.289898,54.697969
97,-144.185362,50.156622
98,-138.395638,48.373367
99,-150.238489,46.300702
100,-117.804976,36.047128
101,-122.736139,24.354505
102,-122.224152,26.024170
103,-112.150562,30.347130
104,-99.225414,18.944563
105,-119.666060,38.349251
106,-115.228536,37.973983
107,-104.459208,30.101605
108,-112.914070,35.625728
109,-116.915610,40.754466
110,-109.132942,31.935589
111,-120.860968,33.259953
112,-125.572976,41.156464
113,-130.421074,40.679392
114,-108.252877,29.379244
115,-103.475882,30.205460
116,-112.030042,36.784931
117,-115.286312,41.683946
118,-104.324610,25.849110
119,-110.668389,31.580715
120,-124.144283,45.780858
121,-118.694538,31.082617
122,-128.932682,34.967297
123,-123.898317,35.423389
124,-124.513575,39.763508
125,-125.484013,32.887348
126,-117.206325,42.083435
127,-121.485029,35.124681
128,-127.022572,40.386584
129,-133.343095,39.402294
130,-135.082840,39.623404
131,-119.301169,38.441333
132,-130.110742,40.021190
133,-126.994695,30.825523
134,-115.746073,32.890683
135,-121.278030,33.592014
136,-126.809574,33.580633
137,-119.629256,24.474129
138,-113.852743,30.709629
139,-93.468900,22.488408
140,-108.248412,27.414800
141,-93.515006,24.270824
142,-94.671183,20.785516
143,-101.956081,27.160145
144,-113.109425,24.524272
145,-112.940256,27.520883
146,-106.502590,34.906876
147,-106.613692,19.691052
148,-96.959326,23.617596
149,-117.540544,25.266479
150,-139.853458,30.377040
151,-141.602036,29.826452
152,-119.581480,31.038318
153,-124.145726,31.949258
154,-142.437171,50.027680
155,-112.477105,34.399193
