N = 100, P = 6, g = 1.800000, T = 1.000000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 100000
MC Step, Potential Energy, Correlation
1,-356.400000,99.000000
2,-322.379044,89.539184
3,-293.059379,78.307775
4,-278.910709,75.778196
5,-273.635977,76.129437
6,-265.376663,73.071101
7,-274.100185,71.427183
8,-285.719209,74.881679
9,-271.117124,71.404014
10,-275.159466,72.087472
11,-257.294776,72.651164
12,-261.348432,65.918546
13,-285.230415,73.932596
14,-269.830085,68.692519
15,-261.583212,67.740627
16,-252.037542,59.539373
17,-266.144208,64.880784
18,-266.926212,72.267099
19,-262.957789,67.037973
20,-256.673603,68.346156
21,-247.363249,60.032897
22,-263.019586,57.516920
23,-256.986764,56.645795
24,-247.703854,51.392741
25,-235.455254,52.533868
26,-239.194280,51.689525
27,-251.514987,50.371140
28,-241.890752,45.491077
29,-232.184533,46.890650
30,-220.685199,37.587496
31,-231.906083,45.105733
32,-253.418112,59.673827
33,-237.909240,60.429456
34,-259.223241,60.588315
35,-238.336039,53.639586
36,-226.678951,49.324099
37,-241.512960,48.422563
38,-240.378065,54.330770
39,-269.110921,57.852141
40,-256.163581,61.356645
41,-250.659014,63.336425
42,-253.851974,73.277809
43,-255.352919,68.594032
44,-256.235962,73.331989
45,-234.863777,64.559977
46,-233.044000,56.648639
47,-208.553229,47.188918
48,-257.411976,63.953841
49,-247.168130,55.173153
50,-253.718839,56.945461
51,-258.885304,58.761673
52,-270.521162,70.701669
53,-264.725723,67.567809
54,-263.736655,65.518043
55,-259.013480,66.608410
56,-219.363279,56.091973
57,-250.725522,61.807032
58,-263.577710,62.041968
59,-253.142947,70.101109
60,-270.354079,71.549991
61,-275.475099,70.396521
62,-271.976007,71.525053
63,-275.312098,72.423062
64,-261.958729,69.887848
65,-256.531216,65.255017
66,-265.009369,67.920396
67,-251.411961,69.274327
68,-264.591336,67.762797
69,-264.568784,71.645957
70,-234.037293,59.609688
71,-247.812033,61.866346
72,-243.716447,63.189051
73,-262.175033,69.599447
74,-238.986805,57.791587
75,-237.555344,58.444991
76,-238.685427,62.989286
77,-261.348466,64.865138
78,-242.872306,62.731485
79,-249.603675,62.426387
80,-238.206162,59.880434
81,-238.254263,61.249536
82,-266.648799,69.580061
83,-251.645417,55.630815
84,-238.615368,49.688372
85,-244.890080,59.000316
86,-251.136327,62.525690
87,-271.081749,60.564990
88,-249.175469,64.009671
89,-262.599697,67.380391
90,-272.183976,69.461884
91,-279.126541,70.722639
92,-262.351221,64.598532
93,-283.109161,71.603884
94,-257.474919,59.985286
95,-267.469716,59.820923
96,-278.039552,68.164304
97,-263.563704,65.295639
98,-264.074442,64.176526
99,-255.035148,62.361096
100,-251.070005,62.122122
101,-235.416324,61.724521
102,-252.006718,55.556088
103,-239.088622,56.202498
104,-244.734431,59.242365
105,-251.373167,61.926028
