N = 100, l = 5, Steps = 10000
g,T,P,tau,Potential Mean,Potential Error,Correlation Mean,Correlation Error, Binder Mean, Binder Error, Energy Mean, Energy Error
1.0,0.1,22,0.45454545454545453,-127.81981820764159,0.11262272185263897,0.37479641983891554,0.0026168853545755354,0.6646141692190213,7.094072724469956e-05,-72.97350995153809,0.17170263738515104
1.0,0.1,30,0.3333333333333333,-128.0556393026123,0.12489487700677637,0.3828665185234996,0.002639107810644829,0.6647733043073458,5.9394873338841316e-05,-73.19472169250488,0.185401800765379
1.0,0.1,10,1.0,-129.52789761010743,0.11515617630287067,0.3823002972349059,0.002737666001333626,0.6645642290945943,6.680210543116449e-05,-73.66554345202636,0.15455798299877857
1.0,0.1,18,0.5555555555555556,-128.30467629797363,0.10635290652767036,0.3834078218792172,0.002688314286915573,0.6646503766385194,6.811413807432678e-05,-73.05018652856447,0.15779225445934067
1.0,0.1,34,0.2941176470588235,-127.88378489062501,0.13498174098355126,0.3836773115704659,0.002726936286203881,0.6647776410084134,5.850705575878363e-05,-73.0702351937256,0.22695594743212297
1.0,0.1,26,0.3846153846153846,-127.86821239233399,0.1278692007616022,0.3766577884026816,0.0025558499136972396,0.6645505801682248,6.72805144075014e-05,-73.40735991052246,0.18331928177418616
1.0,0.1,38,0.2631578947368421,-127.69668965454102,0.15015553823225286,0.38508629001340466,0.002537508585678078,0.6647026452269529,6.25531703676102e-05,-73.58981693908692,0.23891072193921992
1.0,0.1,14,0.7142857142857142,-128.7886225534668,0.10465295181122916,0.3790956850738212,0.002681586370944597,0.664605417299299,6.260116624602769e-05,-73.45026611987305,0.15872499961466524
