N = 100, P = 6, g = 0.400000, T = 1.000000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 1000
MC Step, Potential Energy, Correlation
1,-79.200000,99.000000
2,-70.922312,89.106755
3,-62.896737,74.291023
4,-56.007023,72.792491
5,-51.988315,62.938308
6,-47.886590,55.532380
7,-45.840257,58.153380
8,-41.605069,49.060934
9,-34.242731,37.295854
10,-33.007757,41.115007
11,-37.532962,36.561821
12,-38.139161,38.582611
13,-33.725058,39.598133
14,-31.157844,43.324871
15,-31.755528,41.060782
16,-29.075570,33.482705
17,-26.893223,28.496424
18,-25.942727,22.450676
19,-28.781078,19.100946
20,-22.966298,17.797686
21,-25.064244,27.036893
22,-25.589179,26.885805
23,-18.075136,24.270752
24,-27.713490,21.400274
25,-25.638337,22.892279
26,-25.911462,27.315969
27,-24.754720,20.940617
28,-27.430263,27.792382
29,-30.645148,22.563866
30,-27.330677,17.525954
31,-32.030032,21.818153
32,-26.666344,24.829354
33,-25.716430,20.518695
34,-26.836483,26.833814
35,-28.224760,20.623795
36,-21.656043,19.802071
37,-18.272696,22.984498
38,-23.199774,26.049853
39,-20.484985,27.710952
40,-22.308082,26.517992
41,-21.194516,27.363932
42,-18.395836,21.001798
43,-15.464609,21.936512
44,-22.914180,33.067119
45,-18.294562,24.740743
46,-18.345542,22.930714
47,-20.110192,18.836421
48,-20.202167,9.836049
49,-15.813304,11.322353
50,-17.379369,15.436826
51,-16.118620,11.630905
52,-24.220268,23.793652
53,-21.275780,13.258762
54,-20.105709,16.068715
55,-23.903954,18.497410
56,-16.015441,7.322663
57,-16.380283,9.595428
58,-18.683769,18.012400
59,-18.044353,21.912740
60,-17.004375,16.748720
61,-14.847171,8.403019
62,-19.542289,20.362796
63,-19.540744,10.912071
64,-16.283947,12.408808
65,-20.329719,13.407094
66,-21.822938,12.399375
67,-17.508433,6.392556
68,-22.144105,6.458040
69,-20.857162,14.495236
70,-17.507906,10.563493
71,-17.518373,10.709956
72,-19.196035,12.822405
73,-21.231858,16.365231
74,-16.759749,15.728340
75,-25.018045,27.814081
