N = 100, P = 6, g = 0.200000, T = 1.000000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 1000
MC Step, Potential Energy, Correlation
1,-39.600000,99.000000
2,-35.461156,89.106755
3,-32.851669,75.374095
4,-27.911511,70.628263
5,-24.579756,61.151172
6,-22.378629,52.715768
7,-21.393001,54.041698
8,-17.909379,41.873222
9,-14.096928,34.370763
10,-14.095106,33.639268
11,-15.882387,29.458599
12,-13.595770,23.397664
13,-12.852632,29.576373
14,-11.613660,30.721649
15,-11.212289,25.548374
16,-10.215575,28.584223
17,-8.682814,18.960306
18,-11.217599,21.442308
19,-12.738505,22.398386
20,-9.086028,20.597629
21,-8.541575,22.308066
22,-12.112262,30.891186
23,-8.827935,28.732469
24,-12.147287,24.508368
25,-11.706168,18.809234
26,-9.094310,22.639725
27,-9.847031,19.771313
28,-12.277086,28.673622
29,-11.368382,22.048623
30,-10.921156,18.007939
31,-11.457245,20.608669
32,-9.882120,20.908104
33,-10.834063,23.746154
34,-10.011766,19.210555
35,-9.728668,15.731351
36,-7.791437,19.260117
37,-6.813552,19.990840
38,-9.737037,25.991709
39,-9.297694,14.178965
40,-7.391424,11.878007
41,-7.808412,17.277838
42,-5.085088,12.293147
43,-4.223368,14.289341
44,-6.359328,24.188199
45,-5.157547,20.671846
46,-6.154950,14.304200
47,-6.689938,14.268684
48,-5.333824,9.476924
49,-2.521294,-0.284465
50,-2.994033,0.803656
51,-2.505791,-1.080886
52,-4.554861,10.173391
53,-5.255526,5.753092
54,-6.800916,14.423081
55,-6.757029,14.961971
56,-5.232698,13.099031
57,-3.450633,9.051442
58,-4.554537,10.157039
59,-3.484016,3.937299
60,-3.717660,6.972605
61,-3.752393,1.787678
62,-0.447675,10.762255
63,-3.345163,11.388303
64,-1.391267,10.986720
65,-3.043561,10.265940
66,-4.115688,-0.848128
67,-3.303174,-2.668210
68,-4.387283,-0.134498
69,-3.709877,3.917284
70,-2.858553,-0.995982
71,-3.794989,2.737601
72,-6.312398,6.415952
73,-4.557542,9.416146
74,-4.007735,8.456566
75,-7.110454,14.136793
76,-5.095340,9.170111
77,-3.164956,7.226942
78,-2.208235,0.203103
79,-0.145327,0.884648
80,-1.903212,2.160477
81,-0.904937,-1.150627
82,-0.033658,1.473483
83,0.704890,6.153278
84,-0.560996,9.087626
85,-4.474849,12.706010
86,-1.823027,8.107650
87,-3.727708,-1.029215
88,-6.420902,12.257686
89,-7.762735,16.754494
90,-7.750371,12.832827
91,-5.591374,10.304521
92,-5.949606,15.007308
93,-6.105351,15.811343
94,-4.492707,8.317393
95,-3.971578,2.268866
96,-4.852927,3.062592
97,-2.726610,9.038024
98,-1.922388,3.235992
99,-3.274311,9.184362
100,-3.270560,5.984210
101,-3.396565,8.236816
102,-3.407458,12.493081
103,-4.928828,7.845853
104,-6.789869,18.853216
105,-6.370493,15.374377
106,-4.416582,5.131402
107,-6.304744,8.311312
108,-6.751809,14.275382
109,-6.054880,16.481330
110,-7.337986,19.800658
111,-6.438437,13.146695
112,-5.055365,7.885280
113,-3.912394,-7.568253
114,-4.285187,-2.986605
115,-2.026856,-8.968918
116,-2.858476,-9.934328
117,-3.301390,-7.808501
118,-4.164178,-7.070131
119,-4.845782,7.739656
120,-1.115793,4.901852
121,-0.569143,-1.669587
122,-3.557245,1.739536
123,-0.706189,1.238439
124,-3.561794,4.538073
125,-4.166043,-2.964115
126,-1.677272,1.580531
127,-2.829967,5.284728
128,-0.476344,-0.470790
129,-2.321930,5.337449
130,-3.482074,8.399396
131,-1.810324,-1.977073
132,-1.821788,3.844793
133,-4.165188,6.449153
134,-2.330406,3.205949
135,-0.677489,-1.870409
136,-0.884249,3.588899
137,-2.887581,10.162617
138,-4.210288,-1.908290
139,-3.477602,1.004829
140,-3.807118,4.913754
141,-3.342702,8.306135
142,-3.851948,1.470269
143,-4.591660,9.937518
144,-4.935287,1.622112
145,-5.532756,4.776408
146,-5.057156,-0.397922
147,-6.566939,2.979724
148,-6.195466,5.372236
149,-6.893856,7.735083
150,-6.640338,1.570753
151,-5.718466,8.694138
152,-5.605970,8.310623
153,-3.636670,6.614052
154,-5.702673,4.397970
155,-6.116369,9.441265
156,-7.027920,9.424425
157,-8.112760,14.175084
158,-7.611912,10.837705
159,-8.219003,16.332716
160,-8.622861,15.774088
161,-4.370266,3.971811
162,-4.389559,13.800897
163,-5.433986,17.331705
164,-7.007578,21.140891
165,-6.040972,14.959885
166,-1.857361,13.330233
167,-8.284466,15.410400
168,-5.755030,8.895807
169,-6.289449,8.788149
170,-6.237469,11.379551
171,-3.261479,2.702259
172,-3.633449,1.092905
173,-3.515888,8.414612
174,-6.305547,8.205978
175,-5.180853,10.936716
176,-5.985120,1.645357
177,-8.294014,6.354585
178,-7.559885,4.782980
179,-5.191515,-5.365586
180,-4.627100,7.525437
181,-3.094598,-3.412650
182,-3.347272,-5.396321
183,-4.697045,4.226630
184,-2.667506,10.985369
185,-2.767329,8.360325
186,-4.730138,-1.795609
187,-5.211236,3.042831
188,-5.154319,5.546153
189,-4.990492,-0.847894
190,-3.239567,-1.514889
191,-2.068783,2.749516
192,-3.509303,2.535163
193,-3.762369,0.011807
194,-4.565584,7.887311
195,-2.971576,1.979057
196,-3.631883,3.913289
197,-2.306538,3.610933
198,-2.922915,4.943692
199,-2.414510,0.467668
200,-1.812483,0.772378
201,-0.802595,0.887844
202,-0.522781,3.835630
203,-1.720084,4.712957
204,-1.609268,5.533359
205,0.375189,4.718999
206,1.307190,1.048694
207,1.931481,-0.735876
208,-0.722944,3.975604
209,0.135897,-2.491225
210,-0.579664,-7.382361
211,-0.948871,-6.082411
212,0.263454,3.133966
213,-2.513259,-3.091002
214,-5.378055,-2.469339
215,-6.413955,3.540534
216,-5.149831,1.478533
217,-2.917269,10.717324
218,-1.692282,4.691724
219,-1.265410,1.052660
220,-3.849533,2.284660
221,-3.531988,0.902165
222,-4.354784,2.922072
223,-2.239046,4.577871
224,-5.088034,3.601122
