N = 100, P = 6, g = 1.200000, T = 1.000000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 100000
MC Step, Potential Energy, Correlation
1,-237.600000,99.000000
2,-212.766937,89.106755
3,-194.681089,78.031092
4,-178.196567,71.777369
5,-159.940026,70.140285
6,-163.019165,71.053835
7,-169.218286,69.565927
8,-163.007199,68.550915
9,-141.707055,61.752153
10,-131.939417,60.651092
11,-150.370476,60.683620
12,-157.304711,59.111709
13,-157.954378,61.508847
14,-159.589023,62.666360
15,-164.696133,67.994606
16,-154.758076,57.901893
17,-142.524449,58.226007
18,-131.366712,49.765123
19,-148.917533,56.082196
20,-150.186772,55.042051
21,-147.258654,54.915077
22,-146.033007,48.789373
23,-141.727936,51.715895
24,-153.001453,52.837079
25,-147.124934,52.137701
26,-137.454967,54.644609
27,-142.375309,59.445477
28,-119.373637,49.797827
29,-161.086024,60.074083
30,-131.579293,53.848438
31,-147.461708,56.313425
32,-151.586934,56.318702
33,-159.138193,59.406518
34,-149.046729,56.044896
35,-145.373006,43.292282
36,-143.681149,47.649613
37,-158.384736,45.946052
38,-159.227550,49.441889
39,-150.574280,44.333506
40,-149.924752,46.643426
41,-154.818833,48.181382
42,-151.264036,52.808437
43,-145.550989,50.931575
44,-139.580687,49.802283
45,-126.216288,45.369366
46,-128.897997,41.472100
47,-131.080342,43.115915
48,-139.735937,47.304998
49,-135.870218,41.789969
50,-144.177862,49.094662
51,-138.508109,44.153970
52,-154.449083,53.941304
53,-149.491783,51.822466
54,-137.476960,50.837845
55,-144.684695,54.063283
56,-138.545861,46.938443
57,-139.974077,40.130416
58,-156.750381,42.997828
59,-146.442535,43.501596
60,-168.100323,49.797041
61,-152.945551,52.971330
62,-152.813822,54.450408
63,-148.302027,44.312828
64,-159.016439,47.782273
65,-138.815433,41.146568
66,-139.429684,50.621340
67,-132.352720,50.866185
68,-144.462746,56.455776
69,-160.521263,60.977125
70,-137.219541,52.245717
71,-144.710828,48.197951
72,-130.664147,49.164693
73,-135.472136,45.812410
74,-139.906762,45.953543
75,-140.462364,51.889644
76,-125.467154,41.327978
77,-132.382854,43.016217
78,-136.137657,48.048044
79,-144.735657,53.275277
80,-143.971568,49.693189
81,-150.413841,52.025097
82,-145.959038,50.692024
83,-135.986781,44.107212
84,-119.589892,36.939966
85,-151.954748,54.827468
86,-149.285498,48.529682
87,-147.285638,43.649377
88,-136.916486,41.012686
89,-136.307029,44.273964
90,-144.384416,47.700896
91,-148.736579,54.754629
92,-127.284737,41.125734
93,-150.349554,52.255512
94,-144.001966,45.263345
95,-147.099317,46.541385
96,-136.667823,49.792858
97,-142.188329,50.545697
98,-143.299703,47.085634
99,-139.943080,50.533117
100,-144.227654,53.321270
101,-140.982952,44.138473
102,-121.912148,32.667540
103,-113.123441,32.694715
104,-116.647678,35.113504
105,-118.757985,32.981229
106,-125.914226,36.032424
107,-128.329871,34.119777
108,-132.881457,43.086421
109,-140.864368,40.811969
110,-116.828855,34.084359
111,-124.977547,34.176826
112,-122.072183,39.744029
113,-124.673812,29.748706
114,-138.244221,39.173341
115,-133.211717,39.275592
116,-137.188566,41.174243
117,-146.178729,43.400362
118,-140.985833,38.843147
119,-144.237684,41.833566
120,-121.765754,34.697440
121,-125.823850,43.475824
122,-129.250886,36.681017
123,-128.393033,33.434912
124,-127.227695,35.424875
125,-139.560840,41.532428
126,-135.856839,36.955482
127,-137.591863,43.314966
128,-134.365399,39.512197
129,-130.168696,47.723268
130,-129.691474,41.192139
131,-132.701435,43.858960
132,-146.837620,49.851384
133,-160.790159,53.276557
134,-144.730007,42.308691
135,-146.287304,49.687044
136,-156.494753,53.099365
137,-149.667646,56.072519
138,-152.557839,52.634101
139,-145.659489,50.363895
140,-141.277531,45.540350
141,-142.347150,48.553205
142,-152.389669,51.146130
143,-141.503239,48.537949
144,-151.752612,55.090975
145,-141.776851,48.253491
146,-128.004611,47.036943
147,-128.054755,44.123056
