N = 100, P = 1, g = 0.400000, T = 1.000000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 100000
MC Step, Potential Energy, Correlation
1,-79.200000,99.000000
2,-41.722116,41.394388
3,-22.135584,19.037646
4,-29.215443,10.800771
5,-26.767493,11.474629
6,-25.767709,28.676737
7,-32.028124,27.172033
8,-31.730850,13.441288
9,-28.102163,19.636981
10,-31.135833,22.425638
11,-27.782497,19.891360
12,-33.136778,24.366256
13,-26.509209,31.267626
14,-26.991535,24.769836
15,-26.087616,24.215559
16,-28.359418,17.638845
17,-40.964839,38.472450
18,-28.179758,24.142771
19,-29.087859,20.569275
20,-27.186129,25.709798
21,-22.990111,20.088943
22,-29.398804,18.871922
23,-26.856028,16.019480
24,-23.408265,25.291478
25,-24.563376,16.537493
26,-25.924917,10.927514
27,-26.093860,11.019095
28,-32.270173,26.144720
29,-32.701815,33.288155
30,-30.477114,12.971419
31,-23.783380,-0.435032
32,-28.220705,10.316488
33,-19.320092,11.654590
34,-22.902299,11.750417
35,-27.908813,14.856354
36,-26.361596,8.340489
37,-28.337796,17.566024
38,-31.561596,22.543063
39,-30.027330,16.625264
40,-38.003124,24.092555
41,-25.367824,22.755433
42,-25.273355,17.521532
43,-29.261953,14.789272
44,-27.825164,16.150047
45,-21.892098,9.825044
46,-18.121877,14.085458
47,-25.042268,15.709330
48,-22.939353,11.459747
49,-23.852847,6.816027
50,-30.460610,28.011596
51,-24.185716,11.178175
52,-21.099985,21.012558
53,-25.148015,22.505415
54,-22.797218,23.772569
55,-29.531534,17.091587
56,-28.330860,13.185434
57,-29.897912,12.162485
58,-27.474301,27.391991
59,-33.913068,21.162720
60,-30.972979,17.964593
61,-28.622585,5.596591
62,-27.515414,18.142940
63,-22.141522,23.006067
64,-37.424553,25.216845
65,-32.088951,11.120539
66,-28.743693,28.034352
67,-23.097544,16.556708
68,-29.287061,25.500474
69,-32.280992,21.498695
70,-33.050100,22.281650
71,-26.542409,22.044911
72,-25.307023,12.155565
73,-28.347428,16.539360
74,-31.196601,11.720451
75,-25.120794,9.658529
76,-26.330009,11.716764
77,-28.852280,8.632648
78,-25.277593,4.533163
79,-23.095325,3.170468
80,-21.482245,7.163771
81,-23.309051,1.614476
82,-24.357392,14.520130
83,-24.324675,17.836425
84,-26.965590,2.865005
85,-32.615689,13.094702
86,-20.341699,7.881634
87,-30.166331,20.692740
88,-28.271874,9.131775
89,-27.352461,16.748665
90,-33.180666,30.186306
91,-30.053892,20.320274
92,-32.910536,28.922711
93,-30.222194,19.354938
94,-27.989304,24.994427
95,-20.861714,1.483030
96,-25.829763,16.092581
97,-29.331632,20.688639
98,-21.632704,13.987875
99,-25.588048,16.124430
100,-18.705749,4.898537
101,-22.631561,15.457642
102,-26.282366,7.909789
103,-27.045120,10.488475
104,-34.998941,24.154768
105,-30.611983,14.651837
106,-28.987370,32.375525
107,-29.189861,14.795950
108,-28.018183,10.881007
109,-26.996796,17.333051
110,-25.169926,12.024431
111,-38.283984,21.798505
112,-34.948223,27.920540
113,-33.039601,17.863053
114,-25.406688,22.129981
115,-33.935198,28.728156
116,-32.460629,15.233285
117,-35.457434,37.742377
118,-24.722191,24.082993
119,-32.034246,27.054331
120,-20.051300,8.036662
121,-21.451878,12.393733
122,-31.688646,10.581395
123,-27.135995,20.833429
124,-22.887327,6.377054
125,-20.667700,15.642855
126,-21.691027,9.720419
127,-23.627775,12.158055
128,-29.854227,17.590987
129,-30.030211,25.547934
130,-24.569122,27.968003
131,-22.588285,11.178387
132,-29.170127,32.627064
133,-27.066312,11.367376
134,-28.655136,29.773361
135,-23.466275,26.746720
136,-15.919961,18.034117
137,-28.755017,13.937330
138,-31.148470,18.299539
139,-22.008088,9.354685
140,-27.832442,5.962971
141,-26.444260,24.498970
142,-25.847316,35.065546
143,-28.353212,12.228563
144,-36.385153,21.406727
145,-33.442168,22.992828
146,-32.201216,29.537362
147,-31.555002,24.839136
148,-17.997226,7.459119
149,-25.898833,17.374185
150,-30.213187,21.299704
151,-27.122313,17.850105
152,-28.329495,21.407759
153,-28.610266,15.192259
154,-29.136159,24.236485
155,-23.008501,18.604867
156,-29.702237,19.117442
157,-28.837948,26.229249
158,-27.780431,14.376522
159,-30.533643,37.426755
160,-36.136497,27.762473
161,-32.697229,24.353212
162,-35.496778,22.483849
163,-30.822304,15.797023
164,-30.689070,27.306135
165,-33.112077,23.981213
166,-27.120144,33.261816
167,-22.172710,14.159992
168,-26.896876,9.908957
169,-28.478603,27.567750
170,-29.304749,20.020718
171,-28.771161,17.537199
172,-26.318874,18.226224
173,-26.214310,15.693486
174,-25.321704,21.703271
175,-30.246251,20.527960
176,-32.122959,15.507009
177,-31.841891,25.876422
178,-34.147716,29.769244
179,-35.146854,43.338770
180,-27.296178,26.455111
181,-27.783281,16.022423
182,-26.412493,19.644969
183,-25.731404,18.692270
184,-26.726153,23.363317
185,-22.438481,18.603748
186,-25.477122,21.086540
187,-16.117902,8.173743
188,-21.885638,4.763847
189,-35.434489,31.655808
190,-29.778697,28.834613
191,-22.776643,20.306263
192,-28.163428,19.435857
193,-36.871970,27.633294
194,-24.106973,17.112520
195,-25.571663,7.809818
196,-22.804223,13.061387
197,-29.960484,18.544313
198,-28.858307,9.669203
199,-25.532286,23.969184
200,-23.752113,9.819598
201,-18.076953,17.747380
202,-24.627841,4.929050
203,-28.883778,11.782429
204,-29.096827,21.189392
205,-27.684723,26.440970
206,-33.327121,29.430677
207,-34.402370,27.473976
208,-30.816511,24.610111
209,-32.262504,32.528987
210,-30.398244,20.608993
211,-31.216342,11.434058
212,-17.227202,0.348241
213,-22.027512,2.482286
214,-24.588427,6.175655
215,-29.137351,1.210329
216,-27.620216,22.445877
217,-36.253284,33.609886
218,-30.994693,33.835165
219,-29.823038,32.075347
220,-33.558174,21.700140
221,-23.897224,15.361685
222,-31.069258,11.205442
223,-30.101791,23.336056
224,-28.341113,10.259981
225,-29.914601,20.424587
226,-37.029123,15.595298
227,-31.818164,15.920351
228,-21.729135,14.100504
229,-21.274158,14.661243
230,-22.947400,10.540398
231,-25.899374,14.500286
232,-27.970319,9.390473
233,-34.351833,15.724870
234,-24.937124,8.263497
235,-19.441426,-1.650396
236,-25.172364,15.384418
237,-23.625702,9.615525
238,-34.501326,22.798450
239,-25.304672,6.792708
240,-17.425166,16.743482
241,-23.217958,13.868549
242,-31.090823,40.348998
243,-31.517641,12.363593
244,-26.499005,11.599749
245,-33.262709,22.090089
246,-23.453638,9.410584
247,-28.765109,15.466067
248,-28.231920,24.957946
249,-24.016275,-7.939600
250,-28.050001,11.421293
251,-38.637356,18.484433
252,-25.814659,19.088283
253,-32.812220,25.954798
254,-31.066866,25.665217
255,-27.446724,16.162808
256,-26.856195,19.386899
257,-28.284895,18.942732
258,-32.395979,20.534341
259,-26.179696,6.374323
260,-18.748126,4.940340
261,-25.764856,4.762758
262,-33.813362,28.259559
263,-31.106629,23.080763
264,-21.229156,15.467072
265,-21.517451,4.820252
266,-29.170430,6.210383
267,-27.851235,24.321058
268,-25.213927,25.239498
269,-28.051022,31.762811
270,-24.683421,10.283572
271,-30.192909,11.557821
272,-34.302099,30.479558
273,-33.639310,22.321765
274,-29.335346,30.800603
275,-30.426608,23.899347
276,-32.214900,26.904065
277,-27.349553,12.936596
278,-28.653284,12.526524
279,-28.461787,20.315100
280,-27.497297,16.222790
