Datetime Marker = _23_08_2024_06_28_14
Estimator Output File
Simulation Specs:, Propagator Approximation = Primitive, Move Type = Gibbs, N = 100, Max States = 5, Temperature = 0.1, V_t = 0.0, V_p = 0.0, Only Boundary Field = False
g, P, tau,Energy,Energy Error
1.0,10,1.0,-96.35035211281127,0.16972555302076883
1.0,14,0.7142857142857142,-86.39792102147908,0.16849315585531807
1.0,18,0.5555555555555556,-81.81672068305089,0.18012776204137823
1.0,22,0.45454545454545453,-79.37715977322787,0.1892600958219916
1.0,26,0.3846153846153846,-77.60646458867254,0.18861050252589553
1.0,30,0.3333333333333333,-76.64428785462086,0.19849643840542583
1.0,34,0.2941176470588235,-75.81625799212372,0.2411454425023908
1.0,38,0.2631578947368421,-75.35702892087733,0.2474919801297045
