N = 100, P = 2, g = 0.400000, T = 1.000000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 100000
MC Step, Potential Energy, Correlation
1,-79.200000,99.000000
2,-54.179408,73.002790
3,-34.522656,30.081319
4,-27.962831,31.204969
5,-31.963514,38.860873
6,-18.834521,17.075934
7,-22.502638,12.181403
8,-17.786837,5.040571
9,-13.218171,7.644740
10,-13.347977,7.767188
11,-21.038053,17.529540
12,-18.490709,11.633136
13,-17.441842,23.916881
14,-14.662956,14.066937
15,-11.930590,18.960139
16,-19.638501,20.372402
17,-15.621984,10.729674
18,-14.971341,0.754118
19,-22.948093,9.194912
20,-18.823325,12.238723
21,-16.855879,9.799550
22,-15.161782,-6.349277
23,-20.622097,9.222436
24,-19.435784,11.360214
25,-16.111685,8.067118
26,-11.420911,13.194453
27,-14.896789,4.359050
28,-20.307756,11.395572
29,-20.009528,10.238762
30,-12.353760,0.264024
31,-12.180534,14.518204
32,-12.328602,2.272106
33,-19.959633,11.791716
34,-13.702764,16.383772
35,-19.624087,9.745053
36,-6.878317,-16.402951
37,-8.456386,5.910981
38,-10.211011,-1.652627
39,-10.589032,-1.222734
40,-19.026719,12.300219
41,-16.206845,9.154633
42,-8.415215,7.629091
43,-10.622860,9.141956
44,-8.893759,4.429876
45,-7.836772,-8.183792
46,-14.218741,1.096932
47,-9.626387,10.949555
48,-7.122803,-0.562056
49,-6.932657,4.372288
50,-8.214501,7.736082
51,-14.635929,5.958896
52,-14.382394,-4.837127
53,-16.916198,11.279565
54,-15.476259,15.057003
55,-13.537198,3.501823
56,-13.074248,5.982611
57,-13.163923,7.553019
58,-18.811580,11.190573
59,-10.729693,3.831175
60,-16.194617,7.730417
61,-11.339944,5.885283
62,-13.137959,-2.008788
63,-11.561141,6.431996
64,-12.298412,10.914348
65,-19.962262,14.920549
66,-9.348098,4.828700
67,-18.317953,15.103112
68,-11.548078,-1.247803
69,-7.900975,0.328746
70,-4.601998,-2.126930
71,-8.675460,-3.010430
72,-10.912186,2.856274
73,-13.909482,6.854244
74,-13.260442,4.112807
75,-15.320740,10.224785
76,-14.517252,3.739912
77,-12.811569,3.837538
78,-17.697303,7.753576
79,-13.834683,9.762323
80,-12.833092,22.983387
81,-7.088597,6.586862
82,-14.442064,6.140621
83,-13.734965,6.906402
84,-9.574479,6.515032
85,-15.690329,-1.202072
86,-17.725321,2.014745
87,-21.794954,4.363763
88,-20.861898,9.405908
89,-21.536825,11.149802
90,-14.896383,13.844312
91,-11.209939,-0.110728
92,-16.002213,11.900933
93,-13.878499,20.164692
94,-11.839483,17.793345
95,-7.402253,-0.509460
96,-12.940123,14.491056
97,-7.231160,19.593766
98,-1.644460,17.630148
99,-8.113949,5.297821
100,-11.262667,8.580190
101,-12.309737,11.139397
102,-14.812808,7.919233
103,-2.857621,-5.506610
104,-10.570756,-0.214149
105,-13.992371,5.687193
106,-18.817597,3.862625
107,-14.172290,-2.574161
108,-20.262111,0.869257
109,-17.120296,11.132661
110,-10.752902,5.975058
111,-9.054464,13.010806
112,-6.767929,10.743190
113,-9.554840,-4.412475
114,-11.193125,-3.788903
115,-6.958307,-9.992233
116,-2.267102,-3.709931
117,-6.533238,-11.567043
118,-6.318606,-5.332822
119,-16.625039,4.562001
120,-22.408466,6.819454
121,-16.580061,9.568059
122,-20.723411,16.801202
123,-17.959662,12.061146
124,-19.821012,13.275770
125,-13.865832,17.152387
126,-15.357612,10.876197
127,-14.541122,-1.432829
128,-13.186413,3.527683
129,-14.784087,-3.332748
130,-14.819805,-2.981994
131,-15.841220,-3.083118
132,-11.069098,-9.287958
133,-11.214411,0.565881
134,-21.334821,19.248035
135,-16.653812,8.352143
136,-20.624599,8.739448
137,-13.434062,7.379580
138,-13.752088,9.160559
139,-5.289080,4.285615
140,-11.439798,4.053740
141,-12.640891,3.700645
142,-7.317190,14.867068
143,-9.246899,7.486928
